,video_url,comment_author,publish_time,comment_text,up_vote
0,https://www.youtube.com/watch?v=CXLSJPGkxHk,5C麥渝欣,2周前,田先生的太太真是恐怖�,0
1,https://www.youtube.com/watch?v=CXLSJPGkxHk,各种刀剑冷兵器出售加微信bww445,2周前,"00:45 人生是各种不同的变故循环不已的痛苦和欢乐组成的。那种永远不变的蓝天只存在于心灵中间,向现实的人生去要求未免是奢望。",0
2,https://www.youtube.com/watch?v=CXLSJPGkxHk,kp kp,2周前,朋友介紹咪搞.緣分到就一定到,1
3,https://www.youtube.com/watch?v=CXLSJPGkxHk,Louis O,2周前,呢啲直頭係有心理問題...,0
4,https://www.youtube.com/watch?v=CXLSJPGkxHk,Rebecca Hui,2周前,縣,0
0,https://www.youtube.com/watch?v=1-uXygKA5zc,B.C.&Lowy,1个月前,"�看家暴男的後續下場 & 詳細事件經過：
https://forgetfulbc.blogspot.com/2021/03/dvtrial.html",951
1,https://www.youtube.com/watch?v=1-uXygKA5zc,:3 呆小喵Daimeow,1个月前（修改过）,那個女檢察官真的MVP,1.5万
2,https://www.youtube.com/watch?v=1-uXygKA5zc,BG講動畫,1个月前,高端 真的高端，能夠從受害人的一舉一動還有背景發現途中的問題，從而讓加害人慌張導致他自爆， 太神啦  律師都不知道怎麼幫,1.5万
3,https://www.youtube.com/watch?v=1-uXygKA5zc,Steven唐,1个月前（修改过）,除了檢察官厲害以外，法官問家暴男在用什麼裝置那段也很神,8911
4,https://www.youtube.com/watch?v=1-uXygKA5zc,mimikyu C,1个月前,感覺檢控官救了這女孩一命，是一位觀察力和智慧俱全的女英雄,1343
5,https://www.youtube.com/watch?v=1-uXygKA5zc,狩魂解放,1个月前（修改过）,"檢察官：洞察出不對勁
法官：問地址
庭警：立刻通知巡邏員警去敲門
你們在三排嗎？配合得這麼天衣無縫！",7902
6,https://www.youtube.com/watch?v=1-uXygKA5zc,YEHHAN LU,1个月前,男方律師的眼睛直接瞪了老大，好像在想說：你要雷，你要先講啊！,4052
7,https://www.youtube.com/watch?v=1-uXygKA5zc,assgold123,1个月前（修改过）,這個女律師真的在做好事（更正是檢察官）,4549
8,https://www.youtube.com/watch?v=1-uXygKA5zc,啊我就怕被罵啊,1个月前,4:16 女檢察官:幹沒藥救了,1836
9,https://www.youtube.com/watch?v=1-uXygKA5zc,Hauer C,1个月前,男律師: 不喝點酒，我辯護不下去...,4695
10,https://www.youtube.com/watch?v=1-uXygKA5zc,張祐誠,1个月前,那個律師一副你在從三小的表情,5586
11,https://www.youtube.com/watch?v=1-uXygKA5zc,21Y3D XU EN ZE,1个月前,女律师是狼人杀里你最想要的队友,4570
12,https://www.youtube.com/watch?v=1-uXygKA5zc,藍月,1个月前,"想呼籲所有的人  不要家暴任何人  如果無法遏止情緒失控 拜託去看醫生! 
許多家暴人沒有意識到自己有問題  有家暴傾向的人可能因為各種原因無法抑制  
現在醫界有許多的相關治療 鼓勵有情緒控管問題的人去看醫生",2904
13,https://www.youtube.com/watch?v=1-uXygKA5zc,٭нояızoп,1个月前,你都一隻腳踏進去了 還繼續挖洞是怎樣,1417
14,https://www.youtube.com/watch?v=1-uXygKA5zc,小啊!不准-YouTube,1个月前（修改过）,"受害人：抱歉，我鏡頭壞掉了
然後就掉線離開了",3260
15,https://www.youtube.com/watch?v=1-uXygKA5zc,吳東隆,1个月前,律師：這三小鳥案子……,1492
16,https://www.youtube.com/watch?v=1-uXygKA5zc,利姆姆,1个月前,女方真的神情怪怪的，被威脅……�,1564
17,https://www.youtube.com/watch?v=1-uXygKA5zc,HK chen,1个月前（修改过）,�難得有5分鐘長的影片�,2476
18,https://www.youtube.com/watch?v=1-uXygKA5zc,洪楷鈞,1个月前,欸不是among us 也不是這樣玩的啊,5127
19,https://www.youtube.com/watch?v=1-uXygKA5zc,Penguin Covered,1个月前（修改过）,"男方的律師：「�我不想說話
，他沒救了」",701
0,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Andrea Huang,3个月前,别人好好的，人品也这么好，别胡说八道，造谣，伤害别人。。。,116
1,https://www.youtube.com/watch?v=mJ2k_0oTRiI,蔡美瑛,2个月前,要心存善念，不要造口業，害人害已。,24
2,https://www.youtube.com/watch?v=mJ2k_0oTRiI,小姐盧,2个月前,抹黑造謠會下割喉地獄,42
3,https://www.youtube.com/watch?v=mJ2k_0oTRiI,木木,2个月前,他們很幸福好嗎？你的視頻是在造謠騙點閱吧！,44
4,https://www.youtube.com/watch?v=mJ2k_0oTRiI,蕭澤瑤,2个月前,別報假新聞啦！小心吃官司。,46
5,https://www.youtube.com/watch?v=mJ2k_0oTRiI,郭宗吉,2个月前,有病的製作團隊，怎麼不去詛咒你們自己的家人，是嗑藥嗑壞了哦？,42
6,https://www.youtube.com/watch?v=mJ2k_0oTRiI,沙小姐,1个月前,"亂說人家是會有報應的,祝福妳別是自己被家暴了",8
7,https://www.youtube.com/watch?v=mJ2k_0oTRiI,王ㄧ,2个月前,先看了評論，我又省下寶貴的9分鍾。,41
8,https://www.youtube.com/watch?v=mJ2k_0oTRiI,董夢萍,1个月前,哈哈哈…根本在造口業嘛！���,7
9,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Little Kyle,2个月前,什麼惡毒的報導 人家明明感情很好 今天還合錄了拜年影片�,14
10,https://www.youtube.com/watch?v=mJ2k_0oTRiI,徐德鳳,2个月前,拜託別造孽。亂七八糟的報導，假報導，抵制,16
11,https://www.youtube.com/watch?v=mJ2k_0oTRiI,内田和巳,2个月前,林志玲夫婦は日本で仲睦まじく幸せに暮らしてるよ�❤️❤️,9
12,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Alen,2个月前,檢舉,29
13,https://www.youtube.com/watch?v=mJ2k_0oTRiI,鄭金英,2个月前,無中生有*亂象報導*真可惡。,15
14,https://www.youtube.com/watch?v=mJ2k_0oTRiI,晴天,2个月前,"亂七八糟的視頻
製造假新聞
那句""家暴只有0次或1萬次""無中生有
有這種邏輯嗎？?
叫林志玲來提告妳們",17
